"","rn","V1"
"1","OG0000000:",4
"2","OG0000001:",7
"3","OG0000002:",6
"4","OG0000003:",6
"5","OG0000004:",6
"6","OG0000005:",7
"7","OG0000006:",5
"8","OG0000007:",6
"9","OG0000008:",5
"10","OG0000009:",6
"11","OG0000010:",7
"12","OG0000011:",6
"13","OG0000012:",5
"14","OG0000013:",6
"15","OG0000014:",8
"16","OG0000015:",7
"17","OG0000016:",7
"18","OG0000017:",8
"19","OG0000018:",4
"20","OG0000019:",7
"21","OG0000020:",7
"22","OG0000021:",4
"23","OG0000022:",7
"24","OG0000023:",7
"25","OG0000024:",14
"26","OG0000025:",17
"27","OG0000026:",23
"28","OG0000027:",23
"29","OG0000028:",12
"30","OG0000029:",23
"31","OG0000030:",23
"32","OG0000031:",23
"33","OG0000032:",11
"34","OG0000033:",20
"35","OG0000034:",23
"36","OG0000035:",19
"37","OG0000036:",23
"38","OG0000037:",23
"39","OG0000038:",17
"40","OG0000039:",23
"41","OG0000040:",22
"42","OG0000041:",18
"43","OG0000042:",16
"44","OG0000043:",22
"45","OG0000044:",18
"46","OG0000045:",20
"47","OG0000046:",11
"48","OG0000047:",23
"49","OG0000048:",23
"50","OG0000049:",22
"51","OG0000050:",19
"52","OG0000051:",13
"53","OG0000052:",19
"54","OG0000053:",23
"55","OG0000054:",23
"56","OG0000055:",16
"57","OG0000056:",23
"58","OG0000057:",19
"59","OG0000058:",23
"60","OG0000059:",23
"61","OG0000060:",11
"62","OG0000061:",23
"63","OG0000062:",14
"64","OG0000063:",16
"65","OG0000064:",23
"66","OG0000065:",15
"67","OG0000066:",23
"68","OG0000067:",23
"69","OG0000068:",19
"70","OG0000069:",23
"71","OG0000070:",22
"72","OG0000071:",20
"73","OG0000072:",23
"74","OG0000073:",23
"75","OG0000074:",23
"76","OG0000075:",23
"77","OG0000076:",23
"78","OG0000077:",15
"79","OG0000078:",19
"80","OG0000079:",12
"81","OG0000080:",17
"82","OG0000081:",23
"83","OG0000082:",23
"84","OG0000083:",23
"85","OG0000084:",23
"86","OG0000085:",23
"87","OG0000086:",23
"88","OG0000087:",23
"89","OG0000088:",23
"90","OG0000089:",23
"91","OG0000090:",23
"92","OG0000091:",23
"93","OG0000092:",23
"94","OG0000093:",23
"95","OG0000094:",23
"96","OG0000095:",23
"97","OG0000096:",23
"98","OG0000097:",23
"99","OG0000098:",23
"100","OG0000099:",23
"101","OG0000100:",23
"102","OG0000101:",23
"103","OG0000102:",23
"104","OG0000103:",23
"105","OG0000104:",23
"106","OG0000105:",23
"107","OG0000106:",23
"108","OG0000107:",23
"109","OG0000108:",23
"110","OG0000109:",23
"111","OG0000110:",23
"112","OG0000111:",23
"113","OG0000112:",23
"114","OG0000113:",23
"115","OG0000114:",23
"116","OG0000115:",23
"117","OG0000116:",23
"118","OG0000117:",23
"119","OG0000118:",23
"120","OG0000119:",23
"121","OG0000120:",23
"122","OG0000121:",23
"123","OG0000122:",23
"124","OG0000123:",23
"125","OG0000124:",23
"126","OG0000125:",23
"127","OG0000126:",23
"128","OG0000127:",23
"129","OG0000128:",23
"130","OG0000129:",23
"131","OG0000130:",23
"132","OG0000131:",23
"133","OG0000132:",23
"134","OG0000133:",17
"135","OG0000134:",23
"136","OG0000135:",23
"137","OG0000136:",23
"138","OG0000137:",23
"139","OG0000138:",20
"140","OG0000139:",23
"141","OG0000140:",23
"142","OG0000141:",23
"143","OG0000142:",23
"144","OG0000143:",23
"145","OG0000144:",23
"146","OG0000145:",23
"147","OG0000146:",23
"148","OG0000147:",23
"149","OG0000148:",23
"150","OG0000149:",23
"151","OG0000150:",23
"152","OG0000151:",19
"153","OG0000152:",19
"154","OG0000153:",23
"155","OG0000154:",11
"156","OG0000155:",9
"157","OG0000156:",12
"158","OG0000157:",22
"159","OG0000158:",23
"160","OG0000159:",23
"161","OG0000160:",23
"162","OG0000161:",23
"163","OG0000162:",23
"164","OG0000163:",23
"165","OG0000164:",23
"166","OG0000165:",23
"167","OG0000166:",23
"168","OG0000167:",23
"169","OG0000168:",23
"170","OG0000169:",23
"171","OG0000170:",23
"172","OG0000171:",23
"173","OG0000172:",23
"174","OG0000173:",23
"175","OG0000174:",23
"176","OG0000175:",13
"177","OG0000176:",23
"178","OG0000177:",23
"179","OG0000178:",23
"180","OG0000179:",23
"181","OG0000180:",23
"182","OG0000181:",23
"183","OG0000182:",23
"184","OG0000183:",23
"185","OG0000184:",23
